-0.104,-0.127,-0.099,2.700,0.009,0.090,-0.100
-0.127,-0.128,-0.107,2.800,0.011,0.089,-0.100
-0.150,-0.128,-0.115,2.900,0.013,0.087,-0.100
-0.174,-0.128,-0.123,3.000,0.015,0.086,-0.100
-0.198,-0.128,-0.130,3.100,0.017,0.085,-0.100
-0.223,-0.128,-0.136,3.200,0.019,0.084,-0.100
-0.248,-0.128,-0.142,3.300,0.021,0.083,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.300,-0.128,-0.152,3.500,0.025,0.081,-0.100
-0.326,-0.127,-0.156,3.600,0.027,0.080,-0.100
-0.352,-0.127,-0.160,3.700,0.029,0.078,-0.100
-0.379,-0.127,-0.163,3.800,0.031,0.077,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,0.000,0.035,0.075,-0.100
-0.431,-0.153,-0.192,0.100,0.035,0.075,-0.098
-0.426,-0.180,-0.216,0.200,0.034,0.075,-0.097
-0.418,-0.207,-0.239,0.300,0.034,0.076,-0.095
-0.406,-0.233,-0.261,0.400,0.033,0.076,-0.094
-0.392,-0.259,-0.282,0.500,0.032,0.077,-0.092
-0.374,-0.284,-0.302,0.600,0.030,0.077,-0.091
-0.353,-0.308,-0.319,0.700,0.029,0.078,-0.090
-0.330,-0.331,-0.335,0.800,0.027,0.079,-0.088
-0.305,-0.353,-0.349,0.900,0.025,0.080,-0.087
-0.277,-0.374,-0.360,1.000,0.023,0.082,-0.086
-0.248,-0.393,-0.369,1.100,0.021,0.083,-0.085
-0.217,-0.410,-0.375,1.200,0.019,0.084,-0.084
-0.185,-0.425,-0.378,1.300,0.016,0.086,-0.083
-0.152,-0.438,-0.378,1.400,0.013,0.087,-0.082
-0.119,-0.448,-0.375,1.500,0.011,0.089,-0.082
-0.085,-0.456,-0.368,1.600,0.008,0.091,-0.081
-0.052,-0.461,-0.358,1.700,0.005,0.092,-0.081
-0.019,-0.463,-0.344,1.800,0.002,0.094,-0.080
0.013,-0.463,-0.328,1.900,-0.001,0.096,-0.080
0.044,-0.459,-0.307,2.000,-0.004,0.097,-0.080
0.074,-0.453,-0.284,2.100,-0.007,0.099,-0.080
0.103,-0.443,-0.258,2.200,-0.010,0.101,-0.080
0.130,-0.431,-0.229,2.300,-0.013,0.103,-0.081
0.155,-0.416,-0.198,2.400,-0.016,0.104,-0.081
0.179,-0.399,-0.165,2.500,-0.019,0.106,-0.082
0.202,-0.380,-0.129,2.600,-0.022,0.108,-0.082
0.222,-0.358,-0.092,2.700,-0.025,0.109,-0.083
0.241,-0.335,-0.054,2.800,-0.027,0.111,-0.084
0.258,-0.310,-0.015,2.900,-0.030,0.112,-0.085
0.274,-0.284,0.025,3.000,-0.032,0.113,-0.086
0.288,-0.256,0.065,3.100,-0.034,0.115,-0.087
0.301,-0.228,0.105,3.200,-0.036,0.116,-0.088
0.311,-0.199,0.145,3.300,-0.038,0.117,-0.090
0.321,-0.170,0.184,3.400,-0.039,0.118,-0.091
0.329,-0.140,0.222,3.500,-0.040,0.118,-0.092
0.335,-0.110,0.258,3.600,-0.041,0.119,-0.094
0.340,-0.081,0.293,3.700,-0.042,0.119,-0.095
0.343,-0.053,0.326,3.800,-0.043,0.120,-0.097
0.346,-0.025,0.356,3.900,-0.043,0.120,-0.098
0.346,0.002,0.384,4.000,-0.043,0.120,-0.100
0.346,0.002,0.384,4.000,-0.043,0.120,-0.100
0.346,0.002,0.384,4.000,-0.043,0.120,-0.100
0.346,0.002,0.384,4.000,-0.043,0.120,-0.100
0.346,0.002,0.384,4.000,-0.043,0.120,-0.100
0.346,0.002,0.384,4.000,-0.043,0.120,-0.100
0.346,0.002,0.384,4.000,-0.043,0.120,-0.100
0.346,0.002,0.384,4.000,-0.043,0.120,-0.100
0.346,0.002,0.384,4.000,-0.043,0.120,-0.100
0.346,0.002,0.384,4.000,-0.043,0.120,-0.100
0.346,0.002,0.384,4.000,-0.043,0.120,-0.100
0.346,0.002,0.384,0.000,-0.043,0.120,-0.100
0.335,-0.009,0.356,0.100,-0.041,0.119,-0.100
0.323,-0.019,0.328,0.200,-0.039,0.118,-0.100
0.311,-0.029,0.302,0.300,-0.037,0.117,-0.100
0.298,-0.039,0.277,0.400,-0.036,0.115,-0.100
0.285,-0.047,0.252,0.500,-0.034,0.114,-0.100
0.272,-0.055,0.229,0.600,-0.032,0.113,-0.100
0.259,-0.063,0.206,0.700,-0.030,0.112,-0.100
0.245,-0.070,0.184,0.800,-0.028,0.111,-0.100
0.230,-0.076,0.163,0.900,-0.026,0.110,-0.100
0.216,-0.082,0.143,1.000,-0.024,0.109,-0.100
0.200,-0.088,0.123,1.100,-0.022,0.108,-0.100
0.185,-0.093,0.105,1.200,-0.020,0.106,-0.100
0.169,-0.097,0.087,1.300,-0.018,0.105,-0.100
0.152,-0.102,0.069,1.400,-0.016,0.104,-0.100
0.136,-0.105,0.052,1.500,-0.014,0.103,-0.100
0.118,-0.109,0.036,1.600,-0.012,0.102,-0.100
0.101,-0.112,0.021,1.700,-0.010,0.101,-0.100
0.082,-0.115,0.006,1.800,-0.008,0.100,-0.100
0.064,-0.117,-0.008,1.900,-0.006,0.099,-0.100
0.044,-0.119,-0.021,2.000,-0.004,0.097,-0.100
0.025,-0.121,-0.034,2.100,-0.002,0.096,-0.100
0.005,-0.123,-0.047,2.200,-0.000,0.095,-0.100
-0.016,-0.124,-0.058,2.300,0.002,0.094,-0.100
-0.037,-0.125,-0.069,2.400,0.003,0.093,-0.100
-0.059,-0.126,-0.080,2.500,0.005,0.092,-0.100
-0.081,-0.127,-0.089,2.600,0.007,0.091,-0.100
-0.104,-0.127,-0.099,2.700,0.009,0.090,-0.100
-0.127,-0.128,-0.107,2.800,0.011,0.089,-0.100
-0.150,-0.128,-0.115,2.900,0.013,0.087,-0.100
-0.174,-0.128,-0.123,3.000,0.015,0.086,-0.100
-0.198,-0.128,-0.130,3.100,0.017,0.085,-0.100
-0.223,-0.128,-0.136,3.200,0.019,0.084,-0.100
-0.248,-0.128,-0.142,3.300,0.021,0.083,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.300,-0.128,-0.152,3.500,0.025,0.081,-0.100
-0.326,-0.127,-0.156,3.600,0.027,0.080,-0.100
-0.352,-0.127,-0.160,3.700,0.029,0.078,-0.100
-0.379,-0.127,-0.163,3.800,0.031,0.077,-0.100
-0.406,-0.127,-0.166,3.900,0.033,0.076,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.433,-0.127,-0.168,4.000,0.035,0.075,-0.100
-0.373,-0.127,-0.162,0.000,0.030,0.078,-0.100
-0.371,-0.154,-0.187,0.100,0.030,0.078,-0.098
-0.367,-0.180,-0.211,0.200,0.030,0.078,-0.097
-0.360,-0.207,-0.233,0.300,0.029,0.078,-0.095
-0.350,-0.233,-0.255,0.400,0.029,0.078,-0.094
-0.338,-0.259,-0.276,0.500,0.028,0.079,-0.092
-0.323,-0.284,-0.295,0.600,0.027,0.080,-0.091
-0.306,-0.308,-0.312,0.700,0.025,0.080,-0.090
-0.286,-0.331,-0.328,0.800,0.024,0.081,-0.088
-0.265,-0.353,-0.341,0.900,0.022,0.082,-0.087
-0.241,-0.374,-0.353,1.000,0.020,0.083,-0.086
-0.216,-0.392,-0.361,1.100,0.019,0.084,-0.085
-0.190,-0.409,-0.368,1.200,0.016,0.085,-0.084
-0.163,-0.424,-0.371,1.300,0.014,0.087,-0.083
-0.135,-0.437,-0.372,1.400,0.012,0.088,-0.082
-0.107,-0.448,-0.370,1.500,0.010,0.089,-0.082
-0.078,-0.456,-0.365,1.600,0.007,0.091,-0.081
-0.049,-0.461,-0.357,1.700,0.005,0.092,-0.081
-0.021,-0.464,-0.346,1.800,0.002,0.094,-0.080
0.007,-0.464,-0.332,1.900,-0.001,0.095,-0.080
0.034,-0.461,-0.315,2.000,-0.003,0.097,-0.080
0.060,-0.455,-0.295,2.100,-0.006,0.098,-0.080
0.085,-0.447,-0.273,2.200,-0.009,0.100,-0.080
0.109,-0.436,-0.248,2.300,-0.011,0.101,-0.081
0.132,-0.423,-0.222,2.400,-0.014,0.103,-0.081
0.154,-0.408,-0.193,2.500,-0.016,0.104,-0.082
0.174,-0.390,-0.163,2.600,-0.019,0.106,-0.082
0.192,-0.371,-0.131,2.700,-0.021,0.107,-0.083
0.210,-0.350,-0.098,2.800,-0.023,0.108,-0.084
0.225,-0.327,-0.064,2.900,-0.025,0.109,-0.085
0.240,-0.303,-0.029,3.000,-0.027,0.111,-0.086
0.253,-0.277,0.006,3.100,-0.029,0.112,-0.087
0.264,-0.251,0.041,3.200,-0.030,0.113,-0.088
0.274,-0.224,0.076,3.300,-0.032,0.113,-0.090
0.283,-0.197,0.111,3.400,-0.033,0.114,-0.091
0.291,-0.169,0.145,3.500,-0.034,0.115,-0.092
0.297,-0.141,0.178,3.600,-0.035,0.115,-0.094
0.301,-0.113,0.209,3.700,-0.036,0.116,-0.095
0.305,-0.086,0.240,3.800,-0.036,0.116,-0.097
0.307,-0.059,0.268,3.900,-0.037,0.116,-0.098
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.307,-0.032,0.295,4.000,-0.037,0.116,-0.100
0.346,0.002,0.384,0.000,-0.043,0.120,-0.100
0.335,-0.009,0.356,0.100,-0.041,0.119,-0.100
0.323,-0.019,0.328,0.200,-0.039,0.118,-0.100
0.311,-0.029,0.302,0.300,-0.037,0.117,-0.100
0.298,-0.039,0.277,0.400,-0.036,0.115,-0.100
0.285,-0.047,0.252,0.500,-0.034,0.114,-0.100
0.272,-0.055,0.229,0.600,-0.032,0.113,-0.100
0.259,-0.063,0.206,0.700,-0.030,0.112,-0.100
0.245,-0.070,0.184,0.800,-0.028,0.111,-0.100
0.230,-0.076,0.163,0.900,-0.026,0.110,-0.100
0.216,-0.082,0.143,1.000,-0.024,0.109,-0.100
0.200,-0.088,0.123,1.100,-0.022,0.108,-0.100
0.185,-0.093,0.105,1.200,-0.020,0.106,-0.100
0.169,-0.097,0.087,1.300,-0.018,0.105,-0.100
0.152,-0.102,0.069,1.400,-0.016,0.104,-0.100
0.136,-0.105,0.052,1.500,-0.014,0.103,-0.100
0.118,-0.109,0.036,1.600,-0.012,0.102,-0.100
0.101,-0.112,0.021,1.700,-0.010,0.101,-0.100
0.082,-0.115,0.006,1.800,-0.008,0.100,-0.100
0.064,-0.117,-0.008,1.900,-0.006,0.099,-0.100
0.044,-0.119,-0.021,2.000,-0.004,0.097,-0.100
0.025,-0.121,-0.034,2.100,-0.002,0.096,-0.100
0.005,-0.123,-0.047,2.200,-0.000,0.095,-0.100
-0.016,-0.124,-0.058,2.300,0.002,0.094,-0.100
-0.037,-0.125,-0.069,2.400,0.003,0.093,-0.100
-0.059,-0.126,-0.080,2.500,0.005,0.092,-0.100
-0.081,-0.127,-0.089,2.600,0.007,0.091,-0.100
-0.104,-0.127,-0.099,2.700,0.009,0.090,-0.100
-0.127,-0.128,-0.107,2.800,0.011,0.089,-0.100
-0.150,-0.128,-0.115,2.900,0.013,0.087,-0.100
-0.174,-0.128,-0.123,3.000,0.015,0.086,-0.100
-0.198,-0.128,-0.130,3.100,0.017,0.085,-0.100
-0.223,-0.128,-0.136,3.200,0.019,0.084,-0.100
-0.248,-0.128,-0.142,3.300,0.021,0.083,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.274,-0.128,-0.147,3.400,0.023,0.082,-0.100
-0.433,-0.127,-0.168,0.000,0.035,0.075,-0.100
-0.430,-0.161,-0.199,0.100,0.034,0.075,-0.098
-0.422,-0.195,-0.229,0.200,0.034,0.075,-0.096
-0.408,-0.228,-0.258,0.300,0.033,0.076,-0.094
-0.390,-0.261,-0.284,0.400,0.032,0.077,-0.092
-0.367,-0.293,-0.309,0.500,0.030,0.078,-0.090
-0.339,-0.323,-0.330,0.600,0.028,0.079,-0.089
-0.307,-0.352,-0.348,0.700,0.025,0.080,-0.087
-0.272,-0.378,-0.362,0.800,0.023,0.082,-0.086
-0.233,-0.401,-0.373,0.900,0.020,0.084,-0.084
-0.193,-0.422,-0.378,1.000,0.017,0.085,-0.083
-0.151,-0.438,-0.378,1.100,0.013,0.087,-0.082
-0.108,-0.451,-0.373,1.200,0.010,0.089,-0.081
-0.066,-0.459,-0.363,1.300,0.006,0.092,-0.081
-0.024,-0.463,-0.347,1.400,0.002,0.094,-0.080
0.017,-0.462,-0.325,1.500,-0.002,0.096,-0.080
0.057,-0.457,-0.298,1.600,-0.006,0.098,-0.080
0.094,-0.446,-0.267,1.700,-0.009,0.100,-0.080
0.129,-0.432,-0.231,1.800,-0.013,0.103,-0.081
0.161,-0.413,-0.190,1.900,-0.017,0.105,-0.081
0.191,-0.390,-0.147,2.000,-0.021,0.107,-0.082
0.218,-0.363,-0.100,2.100,-0.024,0.109,-0.083
0.242,-0.334,-0.052,2.200,-0.027,0.111,-0.084
0.264,-0.301,-0.002,2.300,-0.030,0.113,-0.085
0.283,-0.267,0.049,2.400,-0.033,0.114,-0.087
0.299,-0.231,0.100,2.500,-0.036,0.116,-0.088
0.313,-0.194,0.151,2.600,-0.038,0.117,-0.090
0.324,-0.157,0.200,2.700,-0.040,0.118,-0.092
0.333,-0.119,0.248,2.800,-0.041,0.119,-0.093
0.340,-0.082,0.292,2.900,-0.042,0.119,-0.095
0.344,-0.045,0.334,3.000,-0.043,0.120,-0.097
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,-0.010,0.371,3.100,-0.043,0.120,-0.099
0.346,0.002,0.384,0.000,-0.043,0.120,-0.100
0.335,-0.009,0.356,0.100,-0.041,0.119,-0.100
0.323,-0.019,0.328,0.200,-0.039,0.118,-0.100
0.311,-0.029,0.302,0.300,-0.037,0.117,-0.100
0.298,-0.039,0.277,0.400,-0.036,0.115,-0.100
0.285,-0.047,0.252,0.500,-0.034,0.114,-0.100
0.272,-0.055,0.229,0.600,-0.032,0.113,-0.100
0.259,-0.063,0.206,0.700,-0.030,0.112,-0.100
0.245,-0.070,0.184,0.800,-0.028,0.111,-0.100
0.230,-0.076,0.163,0.900,-0.026,0.110,-0.100
0.216,-0.082,0.143,1.000,-0.024,0.109,-0.100
0.216,-0.082,0.143,1.100,-0.022,0.108,-0.100
