0.104,-0.127,-0.099,2.700,-0.009,0.090,-0.100
0.127,-0.128,-0.107,2.800,-0.011,0.088,-0.100
0.150,-0.128,-0.115,2.900,-0.013,0.087,-0.100
0.174,-0.128,-0.123,3.000,-0.015,0.086,-0.100
0.198,-0.128,-0.130,3.100,-0.017,0.085,-0.100
0.223,-0.128,-0.136,3.200,-0.019,0.084,-0.100
0.248,-0.128,-0.142,3.300,-0.021,0.083,-0.100
0.274,-0.128,-0.147,3.400,-0.023,0.082,-0.100
0.300,-0.128,-0.152,3.500,-0.025,0.081,-0.100
0.326,-0.127,-0.156,3.600,-0.027,0.079,-0.100
0.352,-0.127,-0.160,3.700,-0.029,0.078,-0.100
0.379,-0.127,-0.163,3.800,-0.031,0.077,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,0.000,-0.035,0.075,-0.100
0.431,-0.153,-0.192,0.100,-0.035,0.075,-0.098
0.426,-0.180,-0.216,0.200,-0.034,0.075,-0.097
0.418,-0.207,-0.239,0.300,-0.034,0.076,-0.095
0.406,-0.233,-0.261,0.400,-0.033,0.076,-0.094
0.392,-0.259,-0.282,0.500,-0.032,0.077,-0.092
0.374,-0.284,-0.302,0.600,-0.030,0.077,-0.091
0.353,-0.308,-0.319,0.700,-0.029,0.078,-0.090
0.330,-0.331,-0.335,0.800,-0.027,0.079,-0.088
0.305,-0.353,-0.349,0.900,-0.025,0.080,-0.087
0.277,-0.374,-0.360,1.000,-0.023,0.082,-0.086
0.248,-0.393,-0.369,1.100,-0.021,0.083,-0.085
0.217,-0.410,-0.375,1.200,-0.019,0.084,-0.084
0.185,-0.425,-0.378,1.300,-0.016,0.086,-0.083
0.152,-0.438,-0.378,1.400,-0.013,0.087,-0.082
0.119,-0.448,-0.375,1.500,-0.011,0.089,-0.082
0.085,-0.456,-0.368,1.600,-0.008,0.091,-0.081
0.052,-0.461,-0.358,1.700,-0.005,0.092,-0.081
0.019,-0.463,-0.344,1.800,-0.002,0.094,-0.080
-0.013,-0.463,-0.328,1.900,0.001,0.096,-0.080
-0.044,-0.459,-0.307,2.000,0.004,0.097,-0.080
-0.074,-0.453,-0.284,2.100,0.007,0.099,-0.080
-0.103,-0.443,-0.258,2.200,0.010,0.101,-0.080
-0.130,-0.431,-0.229,2.300,0.013,0.103,-0.081
-0.155,-0.416,-0.198,2.400,0.016,0.104,-0.081
-0.179,-0.399,-0.165,2.500,0.019,0.106,-0.082
-0.202,-0.380,-0.129,2.600,0.022,0.108,-0.082
-0.222,-0.358,-0.092,2.700,0.025,0.109,-0.083
-0.241,-0.335,-0.054,2.800,0.027,0.111,-0.084
-0.258,-0.310,-0.015,2.900,0.030,0.112,-0.085
-0.274,-0.284,0.025,3.000,0.032,0.113,-0.086
-0.288,-0.256,0.065,3.100,0.034,0.115,-0.087
-0.301,-0.228,0.105,3.200,0.036,0.116,-0.088
-0.311,-0.199,0.145,3.300,0.038,0.117,-0.090
-0.321,-0.170,0.184,3.400,0.039,0.118,-0.091
-0.329,-0.140,0.222,3.500,0.040,0.118,-0.092
-0.335,-0.110,0.258,3.600,0.041,0.119,-0.094
-0.340,-0.081,0.293,3.700,0.042,0.119,-0.095
-0.343,-0.053,0.326,3.800,0.043,0.120,-0.097
-0.346,-0.025,0.356,3.900,0.043,0.120,-0.098
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,4.000,0.043,0.120,-0.100
-0.346,0.002,0.384,0.000,0.043,0.120,-0.100
-0.335,-0.009,0.356,0.100,0.041,0.119,-0.100
-0.323,-0.019,0.328,0.200,0.039,0.118,-0.100
-0.311,-0.029,0.302,0.300,0.037,0.117,-0.100
-0.298,-0.039,0.277,0.400,0.036,0.116,-0.100
-0.285,-0.047,0.252,0.500,0.034,0.114,-0.100
-0.272,-0.055,0.229,0.600,0.032,0.113,-0.100
-0.259,-0.063,0.206,0.700,0.030,0.112,-0.100
-0.245,-0.070,0.184,0.800,0.028,0.111,-0.100
-0.230,-0.076,0.163,0.900,0.026,0.110,-0.100
-0.216,-0.082,0.143,1.000,0.024,0.109,-0.100
-0.200,-0.088,0.123,1.100,0.022,0.108,-0.100
-0.185,-0.093,0.105,1.200,0.020,0.107,-0.100
-0.169,-0.097,0.087,1.300,0.018,0.105,-0.100
-0.152,-0.102,0.069,1.400,0.016,0.104,-0.100
-0.136,-0.105,0.052,1.500,0.014,0.103,-0.100
-0.118,-0.109,0.036,1.600,0.012,0.102,-0.100
-0.101,-0.112,0.021,1.700,0.010,0.101,-0.100
-0.082,-0.115,0.006,1.800,0.008,0.100,-0.100
-0.064,-0.117,-0.008,1.900,0.006,0.099,-0.100
-0.044,-0.119,-0.021,2.000,0.004,0.097,-0.100
-0.025,-0.121,-0.034,2.100,0.002,0.096,-0.100
-0.005,-0.123,-0.047,2.200,0.000,0.095,-0.100
0.016,-0.124,-0.058,2.300,-0.002,0.094,-0.100
0.037,-0.125,-0.069,2.400,-0.003,0.093,-0.100
0.059,-0.126,-0.080,2.500,-0.005,0.092,-0.100
0.081,-0.127,-0.089,2.600,-0.007,0.091,-0.100
0.104,-0.127,-0.099,2.700,-0.009,0.090,-0.100
0.127,-0.128,-0.107,2.800,-0.011,0.088,-0.100
0.150,-0.128,-0.115,2.900,-0.013,0.087,-0.100
0.174,-0.128,-0.123,3.000,-0.015,0.086,-0.100
0.198,-0.128,-0.130,3.100,-0.017,0.085,-0.100
0.223,-0.128,-0.136,3.200,-0.019,0.084,-0.100
0.248,-0.128,-0.142,3.300,-0.021,0.083,-0.100
0.274,-0.128,-0.147,3.400,-0.023,0.082,-0.100
0.300,-0.128,-0.152,3.500,-0.025,0.081,-0.100
0.326,-0.127,-0.156,3.600,-0.027,0.079,-0.100
0.352,-0.127,-0.160,3.700,-0.029,0.078,-0.100
0.379,-0.127,-0.163,3.800,-0.031,0.077,-0.100
0.406,-0.127,-0.166,3.900,-0.033,0.076,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,4.000,-0.035,0.075,-0.100
0.433,-0.127,-0.168,0.000,-0.035,0.075,-0.100
0.431,-0.153,-0.192,0.100,-0.035,0.075,-0.098
0.427,-0.180,-0.216,0.200,-0.034,0.075,-0.097
0.420,-0.207,-0.239,0.300,-0.034,0.076,-0.095
0.410,-0.233,-0.262,0.400,-0.033,0.076,-0.094
0.397,-0.259,-0.283,0.500,-0.032,0.076,-0.092
0.382,-0.284,-0.303,0.600,-0.031,0.077,-0.091
0.364,-0.308,-0.321,0.700,-0.030,0.078,-0.090
0.344,-0.331,-0.337,0.800,-0.028,0.079,-0.088
0.322,-0.353,-0.352,0.900,-0.027,0.080,-0.087
0.298,-0.374,-0.364,1.000,-0.025,0.081,-0.086
0.272,-0.393,-0.375,1.100,-0.023,0.082,-0.085
0.245,-0.410,-0.382,1.200,-0.021,0.083,-0.084
0.217,-0.426,-0.388,1.300,-0.019,0.084,-0.083
0.188,-0.439,-0.390,1.400,-0.016,0.086,-0.082
0.158,-0.450,-0.389,1.500,-0.014,0.087,-0.082
0.128,-0.459,-0.386,1.600,-0.011,0.088,-0.081
0.098,-0.465,-0.380,1.700,-0.009,0.090,-0.081
0.068,-0.468,-0.370,1.800,-0.006,0.091,-0.080
0.039,-0.469,-0.358,1.900,-0.004,0.093,-0.080
0.011,-0.467,-0.343,2.000,-0.001,0.094,-0.080
-0.017,-0.462,-0.325,2.100,0.002,0.096,-0.080
-0.044,-0.455,-0.305,2.200,0.004,0.097,-0.080
-0.069,-0.445,-0.282,2.300,0.007,0.099,-0.081
-0.093,-0.433,-0.257,2.400,0.009,0.100,-0.081
-0.116,-0.418,-0.230,2.500,0.012,0.102,-0.082
-0.137,-0.402,-0.201,2.600,0.014,0.103,-0.082
-0.157,-0.383,-0.171,2.700,0.017,0.105,-0.083
-0.176,-0.363,-0.139,2.800,0.019,0.106,-0.084
-0.192,-0.341,-0.106,2.900,0.021,0.107,-0.085
-0.208,-0.317,-0.073,3.000,0.023,0.108,-0.086
-0.221,-0.293,-0.039,3.100,0.025,0.109,-0.087
-0.234,-0.267,-0.006,3.200,0.026,0.110,-0.088
-0.244,-0.241,0.028,3.300,0.028,0.111,-0.090
-0.254,-0.214,0.062,3.400,0.029,0.112,-0.091
-0.262,-0.186,0.095,3.500,0.030,0.112,-0.092
-0.268,-0.159,0.127,3.600,0.031,0.113,-0.094
-0.273,-0.132,0.157,3.700,0.032,0.113,-0.095
-0.276,-0.104,0.187,3.800,0.032,0.114,-0.097
-0.278,-0.077,0.215,3.900,0.033,0.114,-0.098
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,4.000,0.033,0.114,-0.100
-0.279,-0.051,0.241,0.000,0.033,0.114,-0.100
-0.266,-0.059,0.218,0.100,0.031,0.113,-0.100
-0.252,-0.066,0.196,0.200,0.029,0.112,-0.100
-0.238,-0.073,0.174,0.300,0.027,0.110,-0.100
-0.223,-0.079,0.154,0.400,0.025,0.109,-0.100
-0.208,-0.085,0.134,0.500,0.023,0.108,-0.100
-0.193,-0.090,0.114,0.600,0.021,0.107,-0.100
-0.177,-0.095,0.096,0.700,0.019,0.106,-0.100
-0.161,-0.099,0.078,0.800,0.017,0.105,-0.100
-0.145,-0.103,0.061,0.900,0.015,0.104,-0.100
-0.127,-0.107,0.045,1.000,0.013,0.103,-0.100
-0.110,-0.110,0.029,1.100,0.011,0.101,-0.100
-0.092,-0.113,0.014,1.200,0.009,0.100,-0.100
-0.073,-0.116,-0.001,1.300,0.007,0.099,-0.100
-0.055,-0.118,-0.014,1.400,0.005,0.098,-0.100
-0.035,-0.120,-0.028,1.500,0.003,0.097,-0.100
-0.015,-0.122,-0.040,1.600,0.001,0.096,-0.100
0.005,-0.123,-0.052,1.700,-0.000,0.095,-0.100
0.026,-0.125,-0.063,1.800,-0.002,0.094,-0.100
0.047,-0.126,-0.074,1.900,-0.004,0.092,-0.100
0.069,-0.126,-0.084,2.000,-0.006,0.091,-0.100
0.092,-0.127,-0.094,2.100,-0.008,0.090,-0.100
0.114,-0.128,-0.103,2.200,-0.010,0.089,-0.100
0.138,-0.128,-0.111,2.300,-0.012,0.088,-0.100
0.161,-0.128,-0.119,2.400,-0.014,0.087,-0.100
0.185,-0.128,-0.126,2.500,-0.016,0.086,-0.100
0.210,-0.128,-0.133,2.600,-0.018,0.085,-0.100
0.235,-0.128,-0.139,2.700,-0.020,0.083,-0.100
0.260,-0.128,-0.145,2.800,-0.022,0.082,-0.100
0.286,-0.128,-0.150,2.900,-0.024,0.081,-0.100
0.312,-0.127,-0.154,3.000,-0.026,0.080,-0.100
0.338,-0.127,-0.158,3.100,-0.028,0.079,-0.100
0.365,-0.127,-0.161,3.200,-0.030,0.078,-0.100
0.391,-0.127,-0.164,3.300,-0.032,0.077,-0.100
0.418,-0.127,-0.167,3.400,-0.034,0.076,-0.100
0.418,-0.127,-0.167,3.400,-0.034,0.076,-0.100
0.418,-0.127,-0.167,3.400,-0.034,0.076,-0.100
0.418,-0.127,-0.167,3.400,-0.034,0.076,-0.100
0.418,-0.127,-0.167,3.400,-0.034,0.076,-0.100
0.418,-0.127,-0.167,3.400,-0.034,0.076,-0.100
